video_id,gt_name,categories,gen_nodes,gt_nodes,node_count_ratio,svc_precision,svc_recall,svc_f1,ms_precision,ms_recall,ms_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,edge_type_accuracy,gen_workflows,gt_workflows,services_missing,services_hallucinated
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,data_ingestion,6,6,1.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,6,6,0.6667,0.6667,0.6667,1.0000,2,2,UserConsumerEdge,UserConsumerIOT
D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,data_ingestion,6,6,1.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,9,10,0.4444,0.4000,0.4211,0.7500,2,2,UserCompanyAgent,UserCompanyInternalPlatform
1kWxymroGeE,OutSystems: Decomposing a Data Monolith for Scale and MultiTenancy,control,7,5,1.4000,0.7143,1.0000,0.8333,0.7143,1.0000,0.8333,10,4,0.0000,0.0000,0.0000,0.0000,1,4,,"EKS,UserCompanyDeveloper"
CE03UMddoYU,WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability,data_ingestion,11,10,1.1000,0.7778,0.8750,0.8235,0.7273,0.8000,0.7619,17,12,0.4706,0.6667,0.5517,1.0000,2,4,UserConsumerEdge,"UserConsumerIOT,UserConsumerWebMobile"
0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",interactive,12,13,0.9231,0.8182,0.8182,0.8182,0.8333,0.7692,0.8000,20,28,0.4500,0.3214,0.3750,0.0000,2,2,"Fargate,UserConsumerWeb","ECS,UserConsumerWebMobile"
BZ32w0SSAoY,PixelStrings by Cinnafilm: A Flexible & Scalable Platform for Video Audio Optimization & Conversion,compute_intensive,7,7,1.0000,0.8000,0.8000,0.8000,0.8571,0.8571,0.8571,17,19,0.7059,0.6316,0.6667,0.7500,3,4,ThirdParty,RDS
1ZLiRT0C2Yo,T-Mobile: Standardized Container-Based Architecture That can be Automatically Deployed Anywhere,control,11,6,1.8333,0.6667,1.0000,0.8000,0.5455,1.0000,0.7059,19,0,0.0000,0.0000,0.0000,0.0000,4,0,,"ThirdParty,UserCompanyDeveloper,UserConsumerWebMobile"
1SwHH7qQ6Pc,Advance Local: Automating CrossTeam Collaboration with AWS Lambda,"interactive,control",11,10,1.1000,0.7500,0.8571,0.8000,0.8182,0.9000,0.8571,19,13,0.2632,0.3846,0.3125,0.8000,3,5,UserConsumerMobile,"UserCompanyAgent,UserCompanyInternalPlatform"
5f3z1Z_9BJA,Capgemini: Refactoring a Data Warehouse to Amazon Redshift,data_ingestion,12,11,1.0909,0.7500,0.8571,0.8000,0.6667,0.7273,0.6957,15,17,0.4000,0.3529,0.3750,0.8333,3,5,UserCompanyDataStream,"ThirdParty,UserCompanyAnalyst"
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,data_ingestion,12,9,1.3333,0.7500,0.8571,0.8000,0.5000,0.6667,0.5714,15,11,0.1333,0.1818,0.1538,0.0000,2,2,KinesisDataStream,"EKS,Kinesis"
D77FSUkPJ3o,"Avio Aero, a GE Aviation Business: Serverless Application to Manage Expense Purchase Approvals",interactive,10,8,1.2500,0.7500,0.8571,0.8000,0.7000,0.8750,0.7778,14,12,0.3571,0.4167,0.3846,1.0000,2,2,UserConsumerWeb,"KMS,UserCompanyInternalPlatform"
2f_NYiPJQt4,Appway: Securing Sensitive Banking Workflows with Isolated Architecture on AWS,control,13,10,1.3000,0.6923,0.9000,0.7826,0.6923,0.9000,0.7826,19,9,0.3158,0.6667,0.4286,0.8333,2,4,S2SVPN,"ThirdParty,UserCompanyAgent,UserCompanyDeveloper,VPN"
8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,other,12,11,1.0909,0.7500,0.8182,0.7826,0.7500,0.8182,0.7826,11,0,0.0000,0.0000,0.0000,0.0000,3,0,"AMI,AWSConfig","EC2,ThirdParty,UserCompanyInternalPlatform"
7wBOFcP1HwA,Seera Group: Transforming Online Travel Booking with Microservices (Arabic),interactive,11,10,1.1000,0.7778,0.7778,0.7778,0.6364,0.7000,0.6667,17,10,0.3529,0.6000,0.4444,0.6667,3,3,"ThirdParty,UserConsumerWeb","EC2,UserConsumerWebMobile"
Cw26CrJUqv8,Salesforce: Automating SaaS Application Connectivity,other,9,10,0.9000,0.7778,0.7778,0.7778,0.7778,0.7000,0.7368,13,9,0.2308,0.3333,0.2727,1.0000,2,2,"PrivateLink,UserConsumerWeb","UserCompanyDeveloper,VPC"
0wnNlOg42dc,Spyne.AI: High-Quality Product Visuals at Scale with AI on AWS,compute_intensive,11,8,1.3750,0.7000,0.8750,0.7778,0.6364,0.8750,0.7368,15,12,0.4000,0.5000,0.4444,0.8333,2,3,ALB,"ELB,RDS,UserCompanyAPI"
CTG23wd9H74,3M: Building an HPC Modeling Platform to Simplify AWS Usage for Scientists and Engineers,interactive,11,8,1.3750,0.7000,0.8750,0.7778,0.6364,0.8750,0.7368,22,11,0.2273,0.4545,0.3030,1.0000,4,7,UserCompanyAnalyst,"Lambda,ThirdParty,UserCompanyDomainExpert"
5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,data_ingestion,9,9,1.0000,0.8333,0.7143,0.7692,0.7778,0.7778,0.7778,16,10,0.2500,0.4000,0.3077,1.0000,3,2,"ThirdParty,UserConsumerAPI",UserCompanyAPI
66fPHLmvikk,ContentWise: How we Use Amazon SageMaker in Production Italian,control,9,7,1.2857,0.7143,0.8333,0.7692,0.5556,0.7143,0.6250,14,8,0.2143,0.3750,0.2727,1.0000,3,6,UserCompanyAnalyst,"ECS,UserCompanyDeveloper"
7V8wTCkjOqo,NAB: Automating Cloud Governance at the National Australia Bank,other,9,7,1.2857,0.7143,0.8333,0.7692,0.5556,0.7143,0.6250,17,7,0.2353,0.5714,0.3333,0.7500,2,1,ThirdParty,"SQS,UserCompanyDeveloper"
1VcpCVe3tLQ,Swimming Australia: Going for Gold at the Olympics with Machine Learning,"data_ingestion,compute_intensive,interactive",15,12,1.2500,0.7273,0.8000,0.7619,0.6667,0.8333,0.7407,26,13,0.3077,0.6154,0.4103,0.7500,4,4,"UserCompanyDataStream,UserConsumerMobile","UserCompanyAnalyst,UserCompanyDomainExpert,UserCompanyInternalPlatform"
6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,"data_ingestion,interactive",13,11,1.1818,0.6667,0.8889,0.7619,0.6923,0.8182,0.7500,16,18,0.5625,0.5000,0.5294,0.7778,3,4,UserConsumerWeb,"Kinesis,Lex,UserCompanyAgent,UserConsumerMobile"
9LhiUsg3knw,Musixmatch: How Content is Generated by Users Italian,"data_ingestion,compute_intensive",10,13,0.7692,0.8000,0.7273,0.7619,0.8000,0.6154,0.6957,15,8,0.2667,0.5000,0.3478,1.0000,3,6,"CouchBase,UserCompanyDomainExpert,UserConsumerArtist","ThirdParty,UserCompanyInternalPlatform"
0JxJpNjI9Y0,The Washington Post: Building a Content Management Platform with Speed at its Core,interactive,11,9,1.2222,0.6667,0.8571,0.7500,0.7273,0.8889,0.8000,17,17,0.6471,0.6471,0.6471,1.0000,3,4,UserConsumerAPI,"UserCompanyDeveloper,UserCompanyDomainExpert,UserConsumerWebMobile"
5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,"compute_intensive,interactive",9,11,0.8182,0.7500,0.7500,0.7500,0.7778,0.6364,0.7000,13,20,0.3846,0.2500,0.3030,0.8000,2,6,"UserConsumerAPI,UserConsumerWeb","UserCompanyAPI,UserCompanyAgent"
gpWR5JBC64A,FoodHub: Enabling Massive Scale Order Processing with Serverless Architecture,"data_ingestion,interactive",8,8,1.0000,0.7500,0.7500,0.7500,0.7500,0.7500,0.7500,12,6,0.4167,0.8333,0.5556,1.0000,3,2,"UserCompanyAgent,UserConsumerMobile","UserCompanyAnalyst,UserConsumerPOS"
5CwIt-Alqhg,Accenture: Building a Blockchain Circular Supply Chain,data_ingestion,11,11,1.0000,0.7273,0.7273,0.7273,0.7273,0.7273,0.7273,15,12,0.4000,0.5000,0.4444,0.5000,4,4,"ALB,S3,SageMaker","ELB,UserCompanyAnalyst,UserConsumerIOT"
-S-R7MWRpaI,mimik: Hybrid Edge Cloud Leveraging AWS to Support Edge Microservice Mesh,"data_ingestion,interactive",9,8,1.1250,0.7143,0.7143,0.7143,0.6667,0.7500,0.7059,11,11,0.3636,0.3636,0.3636,1.0000,3,4,"Firehose,UserConsumerMobile","UserCompanyAnalyst,UserCompanyEdge"
2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,data_ingestion,8,7,1.1429,0.7143,0.7143,0.7143,0.6250,0.7143,0.6667,14,12,0.3571,0.4167,0.3846,0.8000,2,3,"UserCompanyAgent,UserCompanyDataStream","UserCompanyDomainExpert,UserConsumerHospital"
9-a9Y5THTYo,Vitesco Technologies Cloud Foundation: A Scalable and Automated Cloud Landing Zone,control,9,7,1.2857,0.6250,0.8333,0.7143,0.6667,0.8571,0.7500,9,6,0.5556,0.8333,0.6667,1.0000,2,5,UserConsumerWeb,"CodePipeline,Organizations,UserCompanyDeveloper"
CDCLwX2fo2g,Ztore: Building a Recommendation System on AWS (Cantonese),"compute_intensive,interactive",7,8,0.8750,0.7143,0.7143,0.7143,0.7143,0.6250,0.6667,12,14,0.6667,0.5714,0.6154,0.3750,3,4,"ALB,UserConsumerMobile","ELB,UserConsumerWeb"
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,"data_ingestion,interactive",11,9,1.2222,0.7500,0.6667,0.7059,0.5455,0.6667,0.6000,14,14,0.4286,0.4286,0.4286,0.8333,5,5,"EC2,UserCompanyAPI,UserConsumerMobile","ThirdParty,UserConsumerWebMobile"
62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,other,9,7,1.2857,0.5556,0.8333,0.6667,0.5556,0.7143,0.6250,12,9,0.1667,0.2222,0.1905,1.0000,2,3,VPC,"EC2,EKS,Lambda,RDS"
3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,compute_intensive,7,7,1.0000,0.6667,0.6667,0.6667,0.7143,0.7143,0.7143,10,9,0.5000,0.5556,0.5263,0.8000,2,2,"UserConsumerEdge,VPC","ECR,UserConsumerWebMobile"
Yju3yReAQtc,Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,interactive,13,7,1.8571,0.6250,0.7143,0.6667,0.3846,0.7143,0.5000,18,7,0.2222,0.5714,0.3200,0.7500,4,2,"OpenSearch,UserCompanyInternalPlatform","EC2,ThirdParty,UserCompanyDeveloper"
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,interactive,10,10,1.0000,0.6000,0.6667,0.6316,0.6000,0.6000,0.6000,15,9,0.1333,0.2222,0.1667,1.0000,3,5,"UserCompanyCRM,UserCompanyDataStream,UserConsumerMobile","EC2,SES,ThirdParty,UserConsumerWebMobile"
4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,data_ingestion,13,9,1.4444,0.6667,0.5714,0.6154,0.4615,0.6667,0.5455,16,13,0.4375,0.5385,0.4828,0.7143,4,2,"KinesisAnalytics,UserCompanyAPI,UserCompanyEdge","UserCompanyInternalPlatform,UserConsumerIOT"
53sUjFv9ByI,Neumora Therapeutics: Enabling DNA and RNA Data Insight for Rapid Genomics Sequencing Drug Discovery,data_ingestion,7,6,1.1667,0.5714,0.6667,0.6154,0.5714,0.6667,0.6154,11,6,0.2727,0.5000,0.3529,1.0000,3,3,"ThirdParty,UserCompanyDataStream","S3,UserCompanyAnalyst,UserCompanyDeveloper"
-wLEkq21cvA,Versent: The Migration Factory,control,8,9,0.8889,0.6000,0.6000,0.6000,0.7500,0.6667,0.7059,12,10,0.2500,0.3000,0.2727,1.0000,3,4,"AppDiscovery,UserCompanyAgent","UserCompanyAnalyst,UserCompanyEdge"
8s0wGRkiDrw,Mobilewalla: S3 Access Monitoring Using ML,data_ingestion,7,5,1.4000,0.5000,0.7500,0.6000,0.5714,0.8000,0.6667,7,4,0.2857,0.5000,0.3636,1.0000,2,2,OpenSearch,"ThirdParty,UserCompanyAPI,UserCompanyAgent"
D6rG9eZ5Qus,Graham Media Group: Modernizing Traditional Broadcasting with AWS,interactive,11,9,1.2222,0.5455,0.6667,0.6000,0.5455,0.6667,0.6000,12,9,0.3333,0.4444,0.3810,1.0000,3,3,"CloudFront,ThirdParty,UserCompanyDataStream","Lambda,SystemsManager,UserCompanyAnalyst,UserCompanyElementalLiveDevice,UserConsumerWebMobile"
1xLjtJnfZes,MATTR: Building Digital Trust at Scale,interactive,3,8,0.3750,0.6667,0.2500,0.3636,0.6667,0.2500,0.3636,3,6,0.0000,0.0000,0.0000,0.0000,1,1,"AutoScaling,ELB,ShieldAdvanced,ThirdParty,UserCompanyDataStream,UserConsumerAPI",UserCompanyAPI
BgT_bDAejSQ,GoDaddy: Empowering Agility with ZeroTrust Environment Best Practices,control,11,2,5.5000,0.1250,1.0000,0.2222,0.1818,1.0000,0.3077,12,1,0.0833,1.0000,0.1538,1.0000,4,1,,"DirectConnect,ELB,ThirdParty,UserCompanyDeveloper,UserConsumerWebMobile,VPC,WAF"
7dtomip_VXc,Akatsuki: Building Stable and Scalable Large Scale Game Servers with Amazon ECS (Japanese),interactive,0,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,11,0.0000,0.0000,0.0000,0.0000,0,2,"ALB,Aurora,AutoScaling,CloudWatch,ECS,ElastiCache,Lambda,UserConsumerMobile",
