run_type,video_id,gt_name,categories,gen_nodes,gt_nodes,node_count_ratio,svc_precision,svc_recall,svc_f1,ms_precision,ms_recall,ms_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,edge_type_accuracy,gen_workflows,gt_workflows,services_missing,services_hallucinated
Standard (data/graphs),KzJKdUZ3Ba4,PwC: Streamlining Asset Tracking with Amazon Managed Blockchain,interactive,5,4,1.2500,0.6000,1.0000,0.7500,0.6000,0.7500,0.6667,10,6,0.3000,0.5000,0.3750,0.6667,3,2,,"SAP,UserCompanyAgent"
Standard (data/graphs),BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,interactive,11,10,1.1000,0.7000,0.7778,0.7368,0.7273,0.8000,0.7619,11,9,0.2727,0.3333,0.3000,1.0000,3,5,"UserCompanyCRM,UserCompanyDataStream","EC2,SES,ThirdParty"
Standard (data/graphs),INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,data_ingestion,18,14,1.2857,0.6667,0.8000,0.7273,0.6667,0.8571,0.7500,19,19,0.5263,0.5263,0.5263,0.7000,5,8,"OpenSearch,UserCompanyAnalyst","CloudWatch,UserCompanyAgent,UserCompanyDeveloper,UserConsumerWebMobile"
Standard (data/graphs),2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,data_ingestion,8,7,1.1429,0.7143,0.7143,0.7143,0.6250,0.7143,0.6667,14,12,0.3571,0.4167,0.3846,0.8000,2,3,"UserCompanyAgent,UserCompanyDataStream","UserCompanyDomainExpert,UserConsumerHospital"
Standard (data/graphs),3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,"data_ingestion,interactive",11,9,1.2222,0.7500,0.6667,0.7059,0.5455,0.6667,0.6000,14,14,0.4286,0.4286,0.4286,0.8333,5,5,"EC2,UserCompanyAPI,UserConsumerMobile","ThirdParty,UserConsumerWebMobile"
Standard (data/graphs),M_hqigB9C4I,Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,"data_ingestion,compute_intensive",9,9,1.0000,0.6667,0.7500,0.7059,0.6667,0.6667,0.6667,9,16,0.5556,0.3125,0.4000,0.8000,3,5,"UserCompanyDataStream,UserConsumerWeb","EC2,UserCompanyAgent,UserConsumerHospital"
Standard (data/graphs),D6rG9eZ5Qus,Graham Media Group: Modernizing Traditional Broadcasting with AWS,interactive,11,9,1.2222,0.6364,0.7778,0.7000,0.6364,0.7778,0.7000,10,9,0.5000,0.5556,0.5263,1.0000,3,3,"ThirdParty,UserCompanyDataStream","Lambda,SystemsManager,UserCompanyElementalLiveDevice,UserConsumerWebMobile"
Standard (data/graphs),G07keU4g-LU,Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,data_ingestion,20,10,2.0000,0.6364,0.7778,0.7000,0.4000,0.8000,0.5333,27,21,0.3704,0.4762,0.4167,0.6000,6,5,"UserConsumerMobile,UserConsumerPOS","RDS,SageMaker,UserCompanyAgent,UserConsumerWebMobile"
Standard (data/graphs),62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,other,9,7,1.2857,0.5556,0.8333,0.6667,0.5556,0.7143,0.6250,12,9,0.1667,0.2222,0.1905,1.0000,2,3,VPC,"EC2,EKS,Lambda,RDS"
Standard (data/graphs),MbkLJ62jtMc,Mueller Water Products: Scalable Ingestion of Sensor Data for Municipal Water Conservation LIVE,control,17,6,2.8333,0.5556,0.8333,0.6667,0.2941,0.8333,0.4348,18,4,0.1667,0.7500,0.2727,1.0000,5,3,UserCompanyAPI,"ApiGateway,SES,ThirdParty,UserCompanyAgent"
Standard (data/graphs),K5ww_O4vsxo,Samsung Cloud: Global Hybrid Network Optimization Across 5 AWS Regions Using AWS Transit Gateway,control,15,15,1.0000,0.6000,0.7500,0.6667,0.7333,0.7333,0.7333,20,52,0.8500,0.3269,0.4722,1.0000,3,22,DirectConnect,"OnPremDC,UserConsumerMobile"
Standard (data/graphs),KywvGM6HVXI,Capillary Technologies: Building an OmniChannel Data Ingestion Platform,data_ingestion,13,11,1.1818,0.6000,0.6667,0.6316,0.5385,0.6364,0.5833,12,22,0.5000,0.2727,0.3529,0.8333,2,3,"EC2,Kinesis,UserConsumerWeb","EKS,KinesisDataStream,ThirdParty,UserConsumerWebMobile"
Standard (data/graphs),DAJZAygxDZA,BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,control,9,8,1.1250,0.5714,0.6667,0.6154,0.6667,0.7500,0.7059,13,15,0.1538,0.1333,0.1429,1.0000,3,5,"ModelRegistry,UserCompanyAnalyst","ApiGateway,StepFunctions,UserCompanyDomainExpert"
Standard (data/graphs),99nNHsbwBpg,SkyScanner: Building HighlyAvailable MultiRegion Kubernetes Clusters on 100 Amazon EC2 Spot,interactive,7,2,3.5000,0.4000,1.0000,0.5714,0.2857,1.0000,0.4444,9,0,0.0000,0.0000,0.0000,0.0000,3,0,,"ELB,ThirdParty,UserConsumerWebMobile"
Standard (data/graphs),4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,data_ingestion,9,9,1.0000,0.5714,0.5714,0.5714,0.5556,0.5556,0.5556,12,13,0.4167,0.3846,0.4000,0.6000,3,2,"Kinesis,UserCompanyAPI,UserCompanyEdge","KinesisDataStream,ThirdParty,UserCompanyInternalPlatform"
Standard (data/graphs),LYP98nPBj2A,Singtel: Next-Generation Mobile Financial Services Platform on AWS and Amazon Aurora PostgreSQL,interactive,16,5,3.2000,0.3636,1.0000,0.5333,0.3125,1.0000,0.4762,36,8,0.1111,0.5000,0.1818,1.0000,3,1,,"CloudWatch,Macie,SecurityHub,ThirdParty,UserCompanyAPI,UserCompanyAgent,UserCompanyAnalyst"
Standard (data/graphs),3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,compute_intensive,8,7,1.1429,0.5000,0.5000,0.5000,0.5000,0.5714,0.5333,9,9,0.3333,0.3333,0.3333,1.0000,2,2,"EC2,UserConsumerEdge,VPC","AutoScaling,UserConsumerWebMobile,VPCPeering"
Standard (data/graphs),BgT_bDAejSQ,GoDaddy: Empowering Agility with ZeroTrust Environment Best Practices,control,12,2,6.0000,0.1111,1.0000,0.2000,0.1667,1.0000,0.2857,9,1,0.0000,0.0000,0.0000,0.0000,5,1,,"ALB,DirectConnect,NAT,OnPremDC,ThirdParty,UserCompanyDeveloper,UserConsumerWeb,WAF"
Parsimonious API (data/graphs_parsimonious),-wLEkq21cvA,Versent: The Migration Factory,control,9,9,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,10,10,0.8000,0.8000,0.8000,1.0000,2,4,,
Parsimonious API (data/graphs_parsimonious),07lfvavMdfU,Levels Beyond: Digital Content Orchestration,data_ingestion,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,11,14,0.9091,0.7143,0.8000,0.9000,4,7,,
Parsimonious API (data/graphs_parsimonious),62E9ggjGS8I,DISH Network: Building a Self-Service Portal to Create Multiple Accounts at Scale,other,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4,9,1.0000,0.4444,0.6154,0.7500,2,3,,
Parsimonious API (data/graphs_parsimonious),6YkguepAQuQ,Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,control,10,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,10,0.4286,0.3000,0.3529,1.0000,2,3,,
Parsimonious API (data/graphs_parsimonious),8TExnSvZqt0,AxiomSL's RegCloud®️: Secure & Scalable Risk & Regulatory Reporting on AWS,other,11,11,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,0,0.0000,0.0000,0.0000,0.0000,3,0,,
Parsimonious API (data/graphs_parsimonious),99nNHsbwBpg,SkyScanner: Building HighlyAvailable MultiRegion Kubernetes Clusters on 100 Amazon EC2 Spot,interactive,5,2,2.5000,1.0000,1.0000,1.0000,0.4000,1.0000,0.5714,4,0,0.0000,0.0000,0.0000,0.0000,1,0,,
Parsimonious API (data/graphs_parsimonious),9Cg81Xgg7LQ,Pushpay Holdings Ltd : Strangling a Monolithic Application While Moving to Microservices on AWS,other,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7,7,0.7143,0.7143,0.7143,1.0000,2,2,,
Parsimonious API (data/graphs_parsimonious),Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,interactive,11,10,1.1000,1.0000,1.0000,1.0000,0.9091,1.0000,0.9524,10,14,1.0000,0.7143,0.8333,0.8000,2,2,,
Parsimonious API (data/graphs_parsimonious),QnmmTIYZxNI,Adobe: Simplifying Networking Across Thousands of AWS Accounts with AWS Transit Gateway LIVE,other,8,8,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,6,0.4000,0.3333,0.3636,1.0000,2,2,,
Parsimonious API (data/graphs_parsimonious),fppIOuRMI2g,Instructure: Elevating Digital Education to the Next-Level Event Driven CI/CD Deployments Globally,control,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,6,7,1.0000,0.8571,0.9231,1.0000,1,1,,
Parsimonious API (data/graphs_parsimonious),jBffL9zUCSE,"The New York Times: Giving Developers the Freedom to Deploy, While Governing Cloud Services at Scale",control,7,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5,11,1.0000,0.4545,0.6250,1.0000,2,4,,
Parsimonious API (data/graphs_parsimonious),lkDq9g43djw,FINBOURNE: How Finbourne Assures Resiliency Through Chaos Engineering Events Every 17 min,data_ingestion,7,5,1.4000,1.0000,1.0000,1.0000,0.7143,1.0000,0.8333,4,4,0.5000,0.5000,0.5000,1.0000,1,2,,
Parsimonious API (data/graphs_parsimonious),2L0m28ZLmtE,Sanofi with TeamWork: OnDemand Data Science Environment,compute_intensive,14,13,1.0769,0.9231,1.0000,0.9600,0.9286,1.0000,0.9630,12,11,0.8333,0.9091,0.8696,1.0000,4,7,,UserCompanyAnalyst
Parsimonious API (data/graphs_parsimonious),bikXzsVihF4,United Airlines: How to Use AWS Backup to Protect Data from Ransomware Events,other,8,7,1.1429,0.8750,1.0000,0.9333,0.8750,1.0000,0.9333,7,10,0.5714,0.4000,0.4706,0.7500,2,2,,ServiceNow
Parsimonious API (data/graphs_parsimonious),unFVfqj9cQ8,Contino: Measuring and Communicating The Business Impact of Landing Zones with Flight Controller,data_ingestion,7,8,0.8750,1.0000,0.8750,0.9333,1.0000,0.8750,0.9333,6,7,1.0000,0.8571,0.9231,0.8333,2,2,ControlTower,
Parsimonious API (data/graphs_parsimonious),qi017F1UwvM,Salesflo: Transforming FieldForce Operations Using EventDriven Architecture,"data_ingestion,interactive",17,17,1.0000,0.9286,0.9286,0.9286,0.9412,0.9412,0.9412,18,24,0.7778,0.5833,0.6667,0.8571,3,5,UserConsumerWeb,UserCompanyWebsite
Parsimonious API (data/graphs_parsimonious),1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,control,7,6,1.1667,0.8571,1.0000,0.9231,0.8571,1.0000,0.9231,7,5,0.5714,0.8000,0.6667,1.0000,2,1,,AutoScaling
Parsimonious API (data/graphs_parsimonious),5vR5aN_xdI0,Splunk: Data at Scale by Decoupling Compute and Storage LIVE,data_ingestion,9,9,1.0000,1.0000,0.8571,0.9231,0.8889,0.8889,0.8889,8,10,0.6250,0.5000,0.5556,1.0000,4,2,UserConsumerAPI,
Parsimonious API (data/graphs_parsimonious),AS2JeM2FUzE,Intellect Design Arena: Insurance Risk Assessment with Intellect FABRIC Data Services,"data_ingestion,interactive",9,9,1.0000,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,9,12,0.8889,0.6667,0.7619,0.7500,2,3,UserCompanyDataStream,ThirdParty
Parsimonious API (data/graphs_parsimonious),0F7KDLz-kIQ,"Zigbang: A Hybrid API of Serverless and ECS, Infra as a Code via CDK",interactive,14,13,1.0769,0.8333,0.9091,0.8696,0.8571,0.9231,0.8889,17,28,0.8235,0.5000,0.6222,0.0000,4,2,UserConsumerWeb,"CloudFormation,ECS"
Parsimonious API (data/graphs_parsimonious),-kA0ahrhX3I,Oportun: Increasing the Accuracy of SensitiveData Discovery Using Amazon Macie,data_ingestion,11,9,1.2222,0.8571,0.8571,0.8571,0.7273,0.8889,0.8000,10,8,0.5000,0.6250,0.5556,0.6000,2,4,UserCompanyDeveloper,UserCompanyAnalyst
Parsimonious API (data/graphs_parsimonious),5f3z1Z_9BJA,Capgemini: Refactoring a Data Warehouse to Amazon Redshift,data_ingestion,11,11,1.0000,0.8571,0.8571,0.8571,0.9091,0.9091,0.9091,11,17,0.9091,0.5882,0.7143,0.8000,1,5,UserCompanyDataStream,ThirdParty
Parsimonious API (data/graphs_parsimonious),6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,data_ingestion,8,9,0.8889,0.8571,0.8571,0.8571,0.8750,0.7778,0.8235,11,11,0.7273,0.7273,0.7273,0.7500,2,2,UserCompanyDataStream,EC2
Parsimonious API (data/graphs_parsimonious),2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,data_ingestion,6,6,1.0000,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333,4,6,0.7500,0.5000,0.6000,1.0000,1,2,UserConsumerEdge,UserCompanyEdge
Parsimonious API (data/graphs_parsimonious),pk5yddJpC_8,Benevity: Centralized Logging for Multiple Compute Classes Using OpenSearch,data_ingestion,9,9,1.0000,0.8333,0.8333,0.8333,0.8889,0.8889,0.8889,9,10,0.7778,0.7000,0.7368,1.0000,4,4,UserCompanyDeveloper,UserCompanyAnalyst
Parsimonious API (data/graphs_parsimonious),rPGLNw1cOGM,3M: Parallel Serverless Workflows for Materials Science,interactive,8,8,1.0000,0.8333,0.8333,0.8333,0.8750,0.8750,0.8750,9,20,0.8889,0.4000,0.5517,1.0000,2,2,UserConsumerWeb,UserCompanyDomainExpert
Parsimonious API (data/graphs_parsimonious),6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,"data_ingestion,interactive",10,11,0.9091,0.8750,0.7778,0.8235,0.9000,0.8182,0.8571,9,18,0.6667,0.3333,0.4444,1.0000,3,4,"Firehose,UserConsumerWeb",UserConsumerWebMobile
Parsimonious API (data/graphs_parsimonious),1xLjtJnfZes,MATTR: Building Digital Trust at Scale,interactive,8,8,1.0000,0.8571,0.7500,0.8000,0.7500,0.7500,0.7500,6,6,0.6667,0.6667,0.6667,0.7500,1,1,"UserCompanyDataStream,UserConsumerAPI",UserConsumerMobile
Parsimonious API (data/graphs_parsimonious),5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,"compute_intensive,interactive",10,11,0.9091,0.8571,0.7500,0.8000,0.8000,0.7273,0.7619,12,20,0.5833,0.3500,0.4375,0.8571,2,6,"UserConsumerAPI,UserConsumerWeb",UserConsumerWebMobile
Parsimonious API (data/graphs_parsimonious),JYeXbUdFOdw,Noventiq: Harnessing Search and Analytics with Event-Driven Architecture on Amazon OpenSearch,"data_ingestion,interactive",13,8,1.6250,0.7500,0.8571,0.8000,0.5385,0.8750,0.6667,13,14,0.3846,0.3571,0.3704,1.0000,2,4,UserConsumerWeb,"EC2,UserConsumerWebMobile"
Parsimonious API (data/graphs_parsimonious),D6rG9eZ5Qus,Graham Media Group: Modernizing Traditional Broadcasting with AWS,interactive,9,9,1.0000,0.7778,0.7778,0.7778,0.7778,0.7778,0.7778,8,9,0.6250,0.5556,0.5882,1.0000,3,3,"ThirdParty,UserCompanyDataStream","OnPremDC,SystemsManager"
Parsimonious API (data/graphs_parsimonious),6iK4WNj6QqI,Ticketmaster: Active-Active Multi-Region Checkout for Ticket Purchases,interactive,7,6,1.1667,0.7143,0.8333,0.7692,0.7143,0.8333,0.7692,7,10,0.4286,0.3000,0.3529,1.0000,3,3,UserConsumerWeb,"CloudFront,UserConsumerWebMobile"
